Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Monique Adamczak,F,R,AUS,0.0,8.0,0.5,2017.0,2016.0,2017.0,2017.0
Anastasia Yakimova,F,R,BLR,0.0,10.0,0.5,2016.0,2017.0,2016.0,2017.0
Michaella Krajicek,F,R,NED,2.0,48.0,0.5,2016.0,2017.0,2016.0,2017.0
Alona Bondarenko,F,R,UKR,0.0,16.0,0.25,2017.0,2016.0,2016.0,2016.0
Ana Ivanovic,F,R,SRB,0.0,31.0,0.4838709677419355,2016.0,2016.0,2016.0,2016.0
Shahar Peer,F,R,ISR,0.0,8.0,0.25,2016.0,2016.0,2016.0,2016.0
Lucie Safarova,F,L,CZE,1.0,112.0,0.5535714285714286,2017.0,2018.0,2017.0,2018.0
Pauline Parmentier,F,R,FRA,3.0,243.0,0.48148148148148145,2016.0,2020.0,2016.0,2020.0
Alize Cornet,F,R,FRA,2.0,270.0,0.5370370370370371,2018.0,2020.0,2016.0,2020.0
Mathilde Johansson,F,R,FRA,0.0,14.0,0.2857142857142857,2016.0,2016.0,2016.0,2016.0
Rika Fujiwara,F,R,JPN,0.0,44.0,0.4318181818181818,2017.0,2016.0,2017.0,2016.0
Kateryna Bondarenko,F,R,UKR,1.0,204.0,0.5098039215686274,2016.0,2019.0,2016.0,2019.0
Ekaterina Bychkova,F,R,RUS,0.0,14.0,0.21428571428571427,2021.0,2016.0,2021.0,2021.0
Laura Pous Tio,F,U,ESP,0.0,41.0,0.4146341463414634,2016.0,2017.0,2016.0,2016.0
Emma Laine,F,L,FIN,0.0,20.0,0.55,2016.0,2017.0,2016.0,2016.0
Alexa Glatch,F,R,USA,0.0,83.0,0.46987951807228917,2019.0,2016.0,2019.0,2016.0
Su Wei Hsieh,F,R,TPE,2.0,261.0,0.5478927203065134,2018.0,2020.0,2018.0,2020.0
Vania King,F,R,USA,0.0,66.0,0.5303030303030303,2016.0,2017.0,2016.0,2017.0
Galina Voskoboeva,F,R,KAZ,0.0,46.0,0.45652173913043476,2016.0,2019.0,2016.0,2017.0
Tsvetana Pironkova,F,R,BUL,0.0,102.0,0.5294117647058824,2016.0,2020.0,2016.0,2020.0
Lourdes Dominguez Lino,F,R,ESP,0.0,30.0,0.36666666666666664,2016.0,2016.0,2016.0,2016.0
Akgul Amanmuradova,F,R,UZB,1.0,131.0,0.45038167938931295,2019.0,2021.0,2019.0,2021.0
Elena Vesnina,F,R,RUS,1.0,140.0,0.5571428571428572,2016.0,2021.0,2016.0,2021.0
Olga Savchuk,F,R,UKR,0.0,31.0,0.2903225806451613,2016.0,2017.0,2016.0,2017.0
Jarmila Gajdosova,F,R,AUS,0.0,10.0,0.3,2016.0,2016.0,2016.0,2016.0
Victoria Azarenka,F,R,BLR,4.0,162.0,0.6666666666666666,2019.0,2017.0,2016.0,2017.0
Alberta Brianti,F,R,ITA,0.0,49.0,0.4489795918367347,2016.0,2017.0,2017.0,2016.0
Kirsten Flipkens,F,R,BEL,2.0,249.0,0.5301204819277109,2018.0,2021.0,2016.0,2021.0
Kaia Kanepi,F,R,EST,9.0,182.0,0.7032967032967034,2018.0,2016.0,2018.0,2016.0
Yaroslava Shvedova,F,R,KAZ,0.0,83.0,0.37349397590361444,2016.0,2020.0,2016.0,2021.0
Romina Oprandi,F,R,SUI,1.0,39.0,0.5128205128205128,2016.0,2017.0,2016.0,2019.0
Agnieszka Radwanska,F,R,POL,3.0,144.0,0.6458333333333334,2016.0,2018.0,2016.0,2018.0
Lauren Albanese,F,R,USA,0.0,74.0,0.5135135135135135,2016.0,2017.0,2016.0,2017.0
Varvara Lepchenko,F,L,USA,3.0,288.0,0.5520833333333334,2017.0,2020.0,2017.0,2020.0
Olga Puchkova,F,U,RUS,0.0,56.0,0.4642857142857143,2016.0,2016.0,2016.0,2017.0
Tamira Paszek,F,R,AUT,0.0,111.0,0.5855855855855856,2016.0,2018.0,2016.0,2017.0
Madison Brengle,F,R,USA,8.0,287.0,0.5470383275261324,2017.0,2020.0,2017.0,2020.0
Alla Kudryavtseva,F,R,RUS,0.0,81.0,0.4691358024691358,2016.0,2019.0,2016.0,2018.0
Aleksandra Wozniak,F,R,CAN,2.0,70.0,0.4857142857142857,2017.0,2018.0,2017.0,2018.0
Jessica Moore,F,R,AUS,0.0,51.0,0.3333333333333333,2016.0,2018.0,2016.0,2017.0
Mariya Koryttseva,F,R,UKR,1.0,9.0,0.7777777777777778,2016.0,2017.0,2016.0,2016.0
Timea Bacsinszky,F,R,SUI,2.0,146.0,0.547945205479452,2016.0,2017.0,2016.0,2018.0
