Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Mike Urbanija,M,R,SLO,0.0,4.0,0.0,2018.0,2017.0,,
Cesar Ramirez,M,R,MEX,0.0,2.0,0.0,2017.0,2017.0,,
Yan Sabanin,M,U,RUS,0.0,6.0,0.0,2016.0,2017.0,,
Rafael Camilo,M,U,BRA,0.0,3.0,0.0,2016.0,2016.0,,
Mateo Galdon,M,U,ARG,0.0,1.0,0.0,2017.0,2017.0,,
Ralph Regus,M,L,GER,0.0,1.0,0.0,2017.0,2017.0,,
Peter Goldsteiner,M,U,AUT,0.0,3.0,0.0,2018.0,2018.0,,
Cristobal Saavedra Corvalan,M,R,CHI,0.0,4.0,0.0,2016.0,2017.0,,
Francois Arthur Vibert,M,U,FRA,0.0,2.0,0.0,2017.0,2017.0,,
Mikhail Balmashev,M,U,RUS,0.0,3.0,0.0,2018.0,2018.0,,
Mohsen Hossein Zade,M,U,IRI,0.0,1.0,0.0,2018.0,2018.0,,
Enrico Fioravante,M,R,ITA,0.0,1.0,0.0,2016.0,2016.0,,
Tomislav Ternar,M,U,SLO,0.0,2.0,0.0,2016.0,2016.0,,
Franjo Raspudic,M,R,BIH,0.0,3.0,0.0,2016.0,2016.0,,
Karunuday Singh,M,R,IND,0.0,4.0,0.0,2016.0,2016.0,,
Jarmere Jenkins,M,R,USA,0.0,2.0,0.0,2016.0,2016.0,,
Francesco Picco,M,U,ITA,0.0,4.0,0.0,2016.0,2016.0,,
Jesus Bandres,M,U,VEN,0.0,1.0,0.0,2017.0,2017.0,,
Marco Speronello,M,R,ITA,0.0,1.0,0.0,2021.0,2021.0,,
Francesco Garzelli,M,R,ITA,0.0,1.0,0.0,2018.0,2018.0,,
Dae Hee Lee,M,U,KOR,0.0,1.0,0.0,2017.0,2017.0,,
Ivan Kosec,M,U,SVK,0.0,1.0,0.0,2019.0,2019.0,,
Alexandr Kushakov,M,R,UKR,0.0,3.0,0.0,2016.0,2016.0,,
Eros Siringo,M,U,ITA,0.0,2.0,0.0,2016.0,2016.0,,
Egor Kovalev,M,U,RUS,0.0,4.0,0.0,2016.0,2017.0,,
Barkin Yalcinkale,M,U,TUR,0.0,1.0,0.0,2016.0,2016.0,,
Tilen Zitnik,M,R,SLO,0.0,2.0,0.0,2017.0,2017.0,,
Arnau Dachs,M,U,ESP,0.0,1.0,0.0,2018.0,2018.0,,
Rodrigo Sanchez,M,U,PER,0.0,2.0,0.0,2018.0,2018.0,,
Florent Diep,M,U,FRA,0.0,6.0,0.0,2017.0,2019.0,,
Mousheg Hovhannisyan,M,U,USA,0.0,4.0,0.0,2017.0,2017.0,,
Adam Majchrowicz,M,U,POL,0.0,8.0,0.0,2016.0,2017.0,,
Keelan Oakley,M,R,GBR,0.0,2.0,0.0,2016.0,2016.0,,
Pavel Filin,M,U,BLR,0.0,2.0,0.0,2017.0,2017.0,,
Levente Godry,M,R,HUN,0.0,2.0,0.0,2016.0,2016.0,,
Francisco Dias,M,R,POR,0.0,3.0,0.0,2018.0,2018.0,,
Eduardo Yahir Orozco Rangel,M,U,MEX,0.0,1.0,0.0,2017.0,2017.0,,
Yanais Laurent,M,R,FRA,0.0,3.0,0.0,2018.0,2017.0,,
Giacomo Miccini,M,R,ITA,0.0,2.0,0.0,2016.0,2016.0,,
Lucian Gheorghe,M,R,ROU,0.0,2.0,0.0,2016.0,2016.0,,
Sang Woo Noh,M,U,KOR,0.0,1.0,0.0,2016.0,2016.0,,
Fedor Chervyakov,M,R,RUS,0.0,1.0,0.0,2016.0,2016.0,,
Olivier Duberville,M,U,FRA,0.0,1.0,0.0,2017.0,2017.0,,
Warit Sornbutnark,M,U,THA,0.0,3.0,0.0,2017.0,2016.0,,
Duje Kekez,M,R,CRO,0.0,4.0,0.0,2021.0,2017.0,,
Denys Mylokostov,M,L,UKR,0.0,1.0,0.0,2017.0,2017.0,,
Aliaksandr Bulitski,M,R,BLR,0.0,1.0,0.0,2020.0,2020.0,,
Spencer Newman,M,R,USA,0.0,1.0,0.0,2017.0,2017.0,,
Oliver Hudson,M,R,GBR,0.0,1.0,0.0,2017.0,2017.0,,
Mohit Mayur Jayaprakash,M,R,IND,0.0,2.0,0.0,2016.0,2016.0,,
Jaume Martinez Vich,M,U,ESP,0.0,1.0,0.0,2016.0,2016.0,,
Shane Vinsant,M,R,USA,0.0,1.0,0.0,2017.0,2017.0,,
Julian Busch,M,R,ARG,0.0,1.0,0.0,2016.0,2016.0,,
Scott Clayton,M,U,GBR,0.0,1.0,0.0,2017.0,2017.0,,
Fares Ghasya,M,U,LBA,0.0,2.0,0.0,2016.0,2016.0,,
Jack Schipanski,M,R,AUS,0.0,1.0,0.0,2016.0,2016.0,,
Felipe Escobar,M,U,COL,0.0,1.0,0.0,2016.0,2016.0,,
Jabor Al Mutawa,M,U,QAT,0.0,4.0,0.0,2018.0,2016.0,,
Andre Gaspar Murta,M,U,POR,0.0,1.0,0.0,2017.0,2017.0,,
Jae Hwan Kim,M,L,KOR,0.0,3.0,0.0,2018.0,2018.0,,
Pak Long Yeung,M,R,HKG,0.0,2.0,0.0,2019.0,2019.0,,
Yuri Andrade,M,U,BRA,0.0,2.0,0.0,2016.0,2016.0,,
Alon Elia,M,U,ISR,0.0,1.0,0.0,2016.0,2016.0,,
Tal Goldengoren,M,U,ISR,0.0,1.0,0.0,2016.0,2016.0,,
Mateo Andres Ruiz Naranjo,M,R,COL,0.0,1.0,0.0,2016.0,2016.0,,
Henry Choi,M,U,CAN,0.0,1.0,0.0,2017.0,2017.0,,
Rick Kepler,M,R,USA,0.0,1.0,0.0,2017.0,2017.0,,
Juan Sebastian Cabal,M,R,COL,0.0,1.0,0.0,2016.0,2016.0,,
Anis Ghorbel,M,R,TUN,0.0,1.0,0.0,2016.0,2016.0,,
Alberto Emmanuel Alvarado Larin,M,U,ESA,0.0,7.0,0.0,2017.0,2016.0,,
Julius Tverijonas,M,R,LTU,0.0,3.0,0.0,2017.0,2020.0,,
Jae Min Seol,M,U,KOR,0.0,1.0,0.0,2016.0,2016.0,,
Lofo Ramiaramanana,M,L,MAD,0.0,2.0,0.0,2016.0,2016.0,,
Mahammad Abid,M,U,PAK,0.0,2.0,0.0,2016.0,2016.0,,
Seanon Williams,M,R,BAR,0.0,2.0,0.0,2016.0,2016.0,,
Michael Ray Pallares Gonzalez,M,R,DOM,0.0,1.0,0.0,2018.0,2018.0,,
Jesus Francisco Felix,M,U,DOM,0.0,1.0,0.0,2016.0,2016.0,,
Yasir Khan,M,R,PAK,0.0,2.0,0.0,2016.0,2016.0,,
Ali Ghareeb,M,U,KUW,0.0,1.0,0.0,2016.0,2016.0,,
Nicolas Ngodrela,M,U,FRA,0.0,2.0,0.0,2016.0,2016.0,,
Xiao Gong,M,U,CHN,0.0,4.0,0.0,2016.0,2017.0,,
Ayoub Chakrouni,M,U,MAR,0.0,4.0,0.0,2016.0,2017.0,,
Brian Brogan,M,U,USA,0.0,2.0,0.0,2017.0,2017.0,,
Manuel Barros,M,R,ARG,0.0,1.0,0.0,2016.0,2016.0,,
Mark Oljaca,M,U,USA,0.0,3.0,0.0,2017.0,2016.0,,
Savino Lapalombella,M,U,ITA,0.0,5.0,0.0,2016.0,2017.0,,
Christian Voinea,M,U,ROU,0.0,1.0,0.0,2016.0,2016.0,,
Alfredo Moreno,M,R,MEX,0.0,1.0,0.0,2016.0,2016.0,,
Christoffer Konigsfeldt,M,R,DEN,0.0,1.0,0.0,2018.0,2018.0,,
Marcelo Tebet Filho,M,R,BRA,0.0,2.0,0.0,2016.0,2016.0,,
Khalid Allouch,M,R,MAR,0.0,4.0,0.0,2016.0,2016.0,,
Mousa Shanan Zayed,M,U,QAT,0.0,6.0,0.0,2018.0,2016.0,,
Andrey Yakovlev,M,R,RUS,0.0,20.0,0.0,2017.0,2019.0,,
Junior Ore,M,U,USA,0.0,2.0,0.0,2017.0,2017.0,,
Phassawit Burapharitta,M,U,THA,0.0,4.0,0.0,2016.0,2017.0,,
Neishit Vakil,M,R,IND,0.0,1.0,0.0,2016.0,2016.0,,
Gonzalo Urruticoechea,M,U,CHI,0.0,2.0,0.0,2016.0,2016.0,,
Mohamed Nazim Saber,M,R,MAR,0.0,1.0,0.0,2016.0,2016.0,,
Daniele Chiurulli,M,R,ITA,0.0,1.0,0.0,2016.0,2016.0,,
Xiao Qi,M,U,CHN,0.0,1.0,0.0,2017.0,2017.0,,
Sergio Monges,M,U,PER,0.0,1.0,0.0,2016.0,2016.0,,
Hugo Schott,M,U,FRA,0.0,2.0,0.0,2016.0,2016.0,,
