,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
2928,Elsa Jacquemot,F,R,FRA,0.0,53.0,0.5094339622641509,2021.0,2018.0,2021.0,2018.0,614.2227272727273
2929,Giulia Paterno,F,R,ITA,0.0,11.0,0.2727272727272727,2019.0,2018.0,2019.0,2018.0,
2930,Daria Krasnova,F,U,RUS,0.0,51.0,0.4509803921568627,2021.0,2018.0,2021.0,2019.0,847.9473684210527
2931,Danielle Daley,F,U,GBR,0.0,25.0,0.32,2020.0,2019.0,2020.0,2021.0,
2932,Annerly Poulos,F,U,AUS,0.0,15.0,0.5333333333333333,2019.0,2018.0,2019.0,2020.0,1236.0
2933,Ramona Mataruga,F,R,AUS,0.0,27.0,0.4814814814814814,2019.0,2020.0,2019.0,2018.0,1038.9285714285713
2934,Nathalie Johansson,F,U,SWE,0.0,9.0,0.1111111111111111,2019.0,2021.0,2018.0,2018.0,
2935,Aubane Droguet,F,U,FRA,0.0,77.0,0.5194805194805194,2021.0,2018.0,2019.0,2018.0,883.2428571428572
2936,Emma Raducanu,F,R,GBR,3.0,77.0,0.7402597402597403,2019.0,2020.0,2019.0,2020.0,488.94844253490874
2937,Sina Herrmann,F,R,GER,2.0,105.0,0.5428571428571428,2021.0,2018.0,2020.0,2019.0,675.877079002079
2938,Nina Ugrelidze,F,R,USA,0.0,61.0,0.2459016393442623,2021.0,2020.0,2021.0,2018.0,
2939,Maria Daniels Sierra,F,U,RUS,0.0,29.0,0.4827586206896552,2019.0,2020.0,2019.0,2019.0,1029.7916666666665
2940,Noel Saidenova,F,U,RUS,0.0,95.0,0.6105263157894737,2020.0,2018.0,2020.0,2018.0,985.680679785331
2941,Yelizaveta Karlova,F,U,KAZ,0.0,23.0,0.4782608695652174,2019.0,2021.0,2019.0,2018.0,1171.5
2942,Marie Mettraux,F,U,SUI,0.0,97.0,0.3917525773195876,2019.0,2018.0,2019.0,2018.0,1117.568181818182
2943,Alessandra Crump,F,U,USA,0.0,23.0,0.0869565217391304,2019.0,2018.0,2019.0,2019.0,
2944,Eleonora Alvisi,F,U,ITA,0.0,15.0,0.0666666666666666,2020.0,2018.0,2020.0,2020.0,
2945,Anastasia Tikhonova,F,R,RUS,2.0,117.0,0.6837606837606838,2021.0,2018.0,2021.0,2018.0,600.6384615384616
2946,Veronika Pepelyaeva,F,R,RUS,0.0,48.0,0.5625,2019.0,2021.0,2019.0,2018.0,1138.4597902097903
2947,Mika Dagan Fruchtman,F,R,ISR,0.0,38.0,0.5789473684210527,2021.0,2018.0,2021.0,2020.0,1033.5357142857142
2948,Satsuki Koike,F,U,JPN,0.0,24.0,0.5833333333333334,2019.0,2018.0,2019.0,2018.0,
2949,Lina Boylan,F,U,USA,0.0,11.0,0.1818181818181818,2021.0,2018.0,2020.0,2020.0,
2950,Aya El Sayed,F,U,EGY,0.0,64.0,0.34375,2019.0,2018.0,2019.0,2018.0,1109.7733516483518
2951,Olivia Malm,F,U,SWE,0.0,13.0,0.3846153846153846,2019.0,2018.0,2019.0,2019.0,
2952,Sydney Berlin,F,L,SWE,0.0,10.0,0.4,2018.0,2019.0,2018.0,2018.0,
2953,Mariia Tkacheva,F,U,RUS,1.0,56.0,0.5357142857142857,2019.0,2018.0,2019.0,2021.0,764.6832358674465
2954,Zita Kovacs,F,U,HUN,0.0,21.0,0.2857142857142857,2018.0,2019.0,2018.0,2019.0,1069.3125
2955,Annika Kannan,F,R,IND,0.0,22.0,0.2272727272727272,2021.0,2018.0,2021.0,2019.0,
2956,Hailey Wilcox,F,U,USA,0.0,16.0,0.4375,2019.0,2018.0,2019.0,2018.0,
2957,Shelby Prince,F,U,USA,0.0,22.0,0.0454545454545454,2019.0,2018.0,2021.0,2021.0,
2958,So Hee Yoon,F,U,KOR,0.0,3.0,0.3333333333333333,2019.0,2018.0,2019.0,2019.0,
2959,Sijia Wei,F,U,CHN,0.0,12.0,0.3333333333333333,2019.0,2018.0,2019.0,2019.0,
2960,Anastasia Piangerelli,F,U,ITA,0.0,71.0,0.4647887323943662,2019.0,2020.0,2019.0,2020.0,1028.4909420289855
2961,Rina Saigo,F,U,JPN,0.0,87.0,0.5517241379310345,2019.0,2018.0,2019.0,2018.0,816.1375661375662
2962,Charlotte Chavatipon,F,U,USA,0.0,54.0,0.5740740740740741,2019.0,2018.0,2019.0,2020.0,886.9450127877237
2963,Cori Gauff,F,R,USA,2.0,279.0,0.2795698924731182,2019.0,2020.0,2021.0,2018.0,200.8770827823327
2964,Hibah Shaikh,F,U,USA,0.0,13.0,0.5384615384615384,2021.0,2018.0,2021.0,2021.0,
2965,Hx Izabella Tan,F,U,SGP,0.0,21.0,0.1904761904761904,2019.0,2018.0,2020.0,2019.0,894.8333333333333
2966,Lynelle En Tong Lim,F,U,SGP,0.0,11.0,0.0909090909090909,2019.0,2017.0,2019.0,2019.0,834.9
2967,Marie Charlot Lonnemann,F,U,GER,0.0,18.0,0.1111111111111111,2021.0,2018.0,2019.0,2019.0,
2968,Elena Gemovic,F,U,SRB,0.0,53.0,0.3396226415094339,2019.0,2020.0,2019.0,2018.0,1323.1437908496732
2969,Boyoung Jeong,F,U,KOR,0.0,10.0,0.2,2019.0,2018.0,2018.0,2018.0,
2970,Zheng Hua Xiao,F,U,CHN,0.0,23.0,0.4782608695652174,2019.0,2018.0,2019.0,2018.0,
2971,Joana Baptista,F,U,POR,0.0,12.0,0.0833333333333333,2021.0,2019.0,2021.0,2021.0,
2972,Anastasiya Kostromitina,F,U,RUS,0.0,4.0,0.5,2018.0,2018.0,2018.0,2018.0,
2973,Dasha Lopatetskaya,F,U,UKR,5.0,88.0,0.625,2019.0,2021.0,2019.0,2021.0,411.7721212121212
2974,Julia Ronney,F,U,USA,0.0,9.0,0.3333333333333333,2021.0,2018.0,2021.0,2019.0,
2975,Jana Kolodynska,F,R,BLR,1.0,29.0,0.5172413793103449,2021.0,2018.0,2021.0,2020.0,1229.5333333333333
2976,Anastasiya Komar,F,U,BLR,0.0,19.0,0.631578947368421,2019.0,2018.0,2019.0,2019.0,
2977,Tatsiana Sasnouskaya,F,U,BLR,0.0,21.0,0.5238095238095238,2019.0,2018.0,2019.0,2019.0,
2978,Maria Titova,F,R,RUS,0.0,47.0,0.4468085106382978,2019.0,2020.0,2019.0,2020.0,1157.8285714285714
2979,Gianna Pielet,F,U,USA,0.0,59.0,0.576271186440678,2019.0,2020.0,2019.0,2020.0,1234.885
2980,Carmen Garri Murcia,F,R,ESP,0.0,26.0,0.1538461538461538,2019.0,2018.0,2019.0,2019.0,
2981,Himeno Sakatsume,F,U,JPN,4.0,118.0,0.6101694915254238,2019.0,2018.0,2019.0,2018.0,654.5903846153847
2982,Bojana Marinkov,F,U,AUS,0.0,22.0,0.4545454545454545,2019.0,2018.0,2019.0,2018.0,791.1969696969697
2983,Tara Malik,F,U,USA,0.0,23.0,0.4782608695652174,2021.0,2018.0,2021.0,2018.0,
2984,Leena Bennetto,F,U,CAN,0.0,2.0,0.5,2018.0,2018.0,2018.0,2018.0,
2985,Da Ye Kim,F,U,KOR,0.0,23.0,0.5652173913043478,2019.0,2018.0,2019.0,2018.0,
2986,Uxia Martinez Moral,F,U,ESP,0.0,6.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0,
2987,Barbora Pokorna,F,U,CZE,0.0,22.0,0.3636363636363636,2019.0,2018.0,2019.0,2018.0,
2988,Juliane Triebe,F,U,GER,0.0,38.0,0.4736842105263157,2019.0,2018.0,2019.0,2018.0,
2989,Alice Vicini,F,U,ITA,0.0,6.0,0.1666666666666666,2018.0,2019.0,2018.0,2018.0,
