,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
723,Thiago Monteiro,M,L,BRA,5.0,375.0,0.5546666666666666,2016.0,2021.0,2016.0,2021.0,121.66042406127406
724,Vitaly Kozyukov,M,R,RUS,0.0,30.0,0.6333333333333333,2016.0,2017.0,2016.0,2017.0,700.6818181818182
725,Julien Cagnina,M,R,BEL,0.0,18.0,0.4444444444444444,2017.0,2018.0,2017.0,2016.0,523.8253968253969
726,Alexios Halebian,M,L,USA,0.0,29.0,0.3793103448275862,2016.0,2017.0,2017.0,2018.0,624.7807486631016
727,Loic Perret,M,U,FRA,0.0,6.0,0.3333333333333333,2016.0,2017.0,2016.0,2016.0,1174.125
728,Felipe Assuncao Garla,M,R,BRA,0.0,3.0,0.3333333333333333,2016.0,2018.0,2016.0,2016.0,
729,Martins Podzus,M,R,LAT,0.0,19.0,0.4736842105263157,2018.0,2016.0,2018.0,2016.0,666.8
730,Evgeny Karlovskiy,M,R,RUS,1.0,225.0,0.4666666666666667,2019.0,2016.0,2017.0,2021.0,324.27775008308413
731,Matias Franco Descotte,M,R,ARG,1.0,51.0,0.4117647058823529,2019.0,2016.0,2019.0,2017.0,482.97222222222223
732,Pedja Krstin,M,R,SRB,1.0,236.0,0.4364406779661017,2018.0,2020.0,2018.0,2020.0,229.78507936507935
733,Eduard Esteve Lobato,M,R,ESP,0.0,22.0,0.4090909090909091,2021.0,2018.0,2021.0,2018.0,440.2307692307692
734,Jonathan Kanar,M,U,FRA,0.0,16.0,0.375,2018.0,2019.0,2018.0,2018.0,590.6
735,Miki Jankovic,M,R,SRB,0.0,29.0,0.3793103448275862,2016.0,2017.0,2016.0,2016.0,317.94444444444446
736,Connor Farren,M,R,USA,0.0,19.0,0.2631578947368421,2017.0,2021.0,2016.0,2019.0,922.0461538461539
737,Adam Pavlasek,M,R,CZE,3.0,201.0,0.5422885572139303,2016.0,2020.0,2016.0,2021.0,170.16905950894716
738,Laurent Lokoli,M,R,FRA,0.0,58.0,0.3793103448275862,2017.0,2020.0,2017.0,2020.0,413.8739495798319
739,Ramkumar Ramanathan,M,R,IND,0.0,321.0,0.4735202492211838,2018.0,2020.0,2017.0,2020.0,182.7483625778281
740,Filip Veger,M,R,CRO,0.0,16.0,0.4375,2016.0,2016.0,2016.0,2016.0,591.1944444444445
741,Pol Toledo Bague,M,R,ESP,0.0,49.0,0.4897959183673469,2018.0,2020.0,2018.0,2019.0,461.5808333333333
742,Robin Stanek,M,L,CZE,0.0,66.0,0.4545454545454545,2016.0,2019.0,2016.0,2018.0,392.4214285714286
743,Kyle Edmund,M,R,GBR,5.0,256.0,0.58203125,2016.0,2020.0,2016.0,2020.0,49.00252038547072
744,Gonzalo Villanueva,M,R,ARG,0.0,63.0,0.492063492063492,2019.0,2020.0,2018.0,2020.0,512.0453629032259
745,Temur Ismailov,M,R,UZB,0.0,22.0,0.3636363636363636,2016.0,2019.0,2016.0,2017.0,487.75961538461536
746,Luke Bambridge,M,R,GBR,0.0,71.0,0.4366197183098591,2017.0,2021.0,2017.0,2018.0,565.5349462365591
747,Or Ram Harel,M,R,ISR,0.0,3.0,0.3333333333333333,2018.0,2019.0,2018.0,2018.0,723.0
748,Andrei Stefan Apostol,M,R,ROU,0.0,3.0,0.3333333333333333,2016.0,2017.0,2016.0,2016.0,927.0
749,Matteo Donati,M,R,ITA,0.0,174.0,0.4655172413793103,2016.0,2021.0,2016.0,2021.0,266.00028089887644
750,Adrian Bodmer,M,R,SUI,0.0,19.0,0.2631578947368421,2018.0,2019.0,2016.0,2017.0,895.7928571428572
751,Thien Nguyen Hoang,M,R,VIE,0.0,5.0,0.2,2016.0,2017.0,2016.0,2016.0,
752,Frederico Ferreira Silva,M,L,POR,0.0,188.0,0.5319148936170213,2019.0,2017.0,2019.0,2017.0,248.17772108843536
753,Ricky Medinilla,M,R,MEX,0.0,2.0,0.5,2016.0,2016.0,2016.0,2016.0,1482.0
754,Cheng Yu Yu,M,R,TPE,0.0,13.0,0.1538461538461538,2017.0,2016.0,2017.0,2017.0,676.4444444444445
755,Wishaya Trongcharoenchaikul,M,R,THA,0.0,74.0,0.4459459459459459,2018.0,2020.0,2018.0,2019.0,600.7291204730229
756,Pedro Cachin,M,R,ARG,1.0,177.0,0.4689265536723164,2018.0,2020.0,2018.0,2020.0,276.1415322580645
757,Hugo Di Feo,M,U,CAN,0.0,7.0,0.2857142857142857,2016.0,2017.0,2016.0,2016.0,1431.4166666666665
758,Nick Kyrgios,M,R,AUS,6.0,202.0,0.6534653465346535,2016.0,2020.0,2016.0,2020.0,27.477584134615384
759,Albert Alcaraz Ivorra,M,R,ESP,0.0,6.0,0.5,2016.0,2016.0,2016.0,2016.0,471.33333333333337
760,Mario Vilella Martinez,M,R,ESP,2.0,200.0,0.545,2019.0,2016.0,2019.0,2016.0,249.27458379578246
761,Jorge Brian Panta Herreros,M,U,PER,0.0,20.0,0.25,2017.0,2019.0,2016.0,2017.0,829.9571428571428
762,Lucas Gomez,M,U,MEX,0.0,77.0,0.3246753246753247,2016.0,2020.0,2016.0,2019.0,646.1995918367347
763,Yoshihito Nishioka,M,L,JPN,4.0,287.0,0.5818815331010453,2016.0,2017.0,2016.0,2017.0,113.95539772727273
764,Muhammet Haylaz,M,U,TUR,0.0,5.0,0.2,2016.0,2017.0,2016.0,2016.0,913.125
765,Gianluigi Quinzi,M,L,ITA,2.0,160.0,0.53125,2018.0,2016.0,2018.0,2019.0,270.1093266918584
766,Daniil Medvedev,M,R,RUS,14.0,382.0,0.6989528795811518,2016.0,2020.0,2016.0,2020.0,70.27955283353012
767,Thanasi Kokkinakis,M,R,AUS,3.0,121.0,0.5950413223140496,2018.0,2016.0,2018.0,2017.0,231.3430735930736
768,Blake Mott,M,U,AUS,1.0,68.0,0.5,2017.0,2021.0,2017.0,2019.0,387.25401069518716
769,Zhuoyang Qiu,M,U,CHN,0.0,13.0,0.1538461538461538,2016.0,2017.0,2016.0,2016.0,1513.6136363636365
770,Francisco Bahamonde,M,R,ARG,0.0,9.0,0.4444444444444444,2016.0,2016.0,2016.0,2016.0,369.4
771,Borna Coric,M,R,CRO,2.0,249.0,0.5542168674698795,2018.0,2021.0,2018.0,2021.0,36.42301587301587
772,Dario Acosta,M,R,URU,0.0,4.0,0.25,2016.0,2017.0,2016.0,2016.0,
773,Francis Casey Alcantara,M,U,PHI,0.0,6.0,0.3333333333333333,2016.0,2017.0,2016.0,2016.0,1194.5
774,Fredrik Ask,M,U,NOR,0.0,5.0,0.4,2016.0,2017.0,2016.0,2016.0,1981.9166666666665
775,Wilfredo Gonzalez,M,R,GUA,0.0,13.0,0.3846153846153846,2016.0,2017.0,2017.0,2016.0,1089.7875
776,Mohd Assri Merzuki,M,R,MAS,0.0,2.0,0.5,2016.0,2016.0,2016.0,2016.0,
777,Lukas Mugevicius,M,R,LTU,0.0,11.0,0.4545454545454545,2016.0,2017.0,2016.0,2017.0,568.85
778,Mikelis Libietis,M,U,LAT,0.0,25.0,0.44,2016.0,2017.0,2016.0,2017.0,441.16153846153844
779,Gonzales Austin,M,L,HAI,0.0,17.0,0.7058823529411765,2016.0,2016.0,2016.0,2016.0,660.5833333333333
780,Daniel Masur,M,R,GER,1.0,261.0,0.5134099616858238,2018.0,2020.0,2018.0,2017.0,280.6167022900763
