Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Rebecca Bryant,F,U,Undefined,0.0,,
Linda Gates,F,U,Undefined,0.0,,
Regina Marsikova,F,U,Undefined,0.0,,
Lisa Spain Short,F,U,Undefined,0.0,,
Belinda Cordwell,F,U,Undefined,0.0,,
Terry Holladay,F,U,Undefined,0.0,,
Ann Henricksson,F,U,Undefined,0.0,,
Lisa Bonder Kreiss,F,U,Undefined,0.0,,
Molly Van Nostrand,F,U,Undefined,0.0,,
Janine Tremelling,F,U,Undefined,0.0,,
Hu Na,F,U,Undefined,0.0,,
Nicole Bradtke,F,U,Undefined,0.0,,
Dee Ann Hansel,F,U,Undefined,0.0,,
Jamie Golder,F,U,Undefined,0.0,,
Helen Kelesi,F,U,Undefined,0.0,,
Beverly Bowes,F,U,Undefined,0.0,,
Louise Allen,F,U,Undefined,0.0,,
Lisa Oneill,F,U,Undefined,0.0,,
Cammy Macgregor,F,U,Undefined,0.0,,
Susan Rimes,F,U,Undefined,0.0,,
Caryn Copeland Wilson,F,U,Undefined,0.0,,
Emiko Okagawa,F,U,Undefined,0.0,,
Claudia Porwik,F,U,Undefined,0.0,,
Elna Reinach,F,U,Undefined,0.0,,
Judith Wiesner,F,U,Undefined,0.0,,
Kumiko Okamoto,F,U,Undefined,0.0,,
Ann Devries,F,U,Undefined,0.0,,
Manon Bollegraf,F,U,Undefined,0.0,,
Csilla Cserepy,F,U,Undefined,0.0,,
Eva Krapl,F,U,Undefined,0.0,,
Alison Scott,F,U,Undefined,0.0,,
Yukie Koizumi,F,U,Undefined,0.0,,
Michaela Pazderova,F,U,Undefined,0.0,,
Christina Singer,F,U,Undefined,0.0,,
Tina Mochizuki,F,U,Undefined,0.0,,
Marianne Van Der Torre,F,U,Undefined,0.0,,
Dianne Van Rensburg,F,U,Undefined,0.0,,
Akiko Kijimuta,F,U,Undefined,0.0,,
Terry Phelps,F,U,Undefined,0.0,,
Patricia Hy Boulais,F,U,Undefined,0.0,,
Michelle Jaggard Lai,F,U,Undefined,0.0,,
Sally Mccann,F,U,Undefined,0.0,,
Pilar Vasquez,F,U,Undefined,0.0,,
Marianne Werdel Witmeyer,F,U,Undefined,0.0,,
Andrea Betzner,F,U,Undefined,0.0,,
Gretchen Magers,F,U,Undefined,0.0,,
Julie Salmon,F,U,Undefined,0.0,,
Michelle Bowrey,F,U,Undefined,0.0,,
Wiltrud Probst,F,U,Undefined,0.0,,
Kathrin Keil,F,U,Undefined,0.0,,
Virginie Paquet,F,U,Undefined,0.0,,
Michelle Turk,F,U,Undefined,0.0,,
Julie Richardson,F,U,Undefined,0.0,,
Amy Jonsson Raaholt,F,U,Undefined,0.0,,
Clare Thompson,F,U,Undefined,0.0,,
Pamela Jung,F,U,Undefined,0.0,,
Monique Javer,F,U,Undefined,0.0,,
Lindsay Bartlett,F,U,Undefined,0.0,,
Jennifer Fuchs,F,U,Undefined,0.0,,
Xanthe Adams,F,U,Undefined,0.0,,
Paulette Moreno,F,U,Undefined,0.0,,
Sybille Niox Chateau,F,U,Undefined,0.0,,
Sarah Loosemore,F,U,Undefined,0.0,,
Hellas Ter Riet,F,U,Undefined,0.0,,
Nicole Jagerman,F,U,Undefined,0.0,,
Olga Tsarbopoulou,F,U,Undefined,0.0,,
Karen Deed,F,U,Undefined,0.0,,
Jennifer Goodling,F,U,Undefined,0.0,,
Carol Christian,F,U,Undefined,0.0,,
Maria Christine Damas,F,U,Undefined,0.0,,
